timestamp,solar_gen,wind_gen,demand,temp,humidity,wind_speed,hour,dayofweek,is_weekend
2024-01-01 00:00:00,0.0,402.84,9674.05,22.23,72.5,4.16,0,0,0
2024-01-01 01:00:00,0.0,535.44,9807.37,20.74,79.2,3.77,1,0,0
2024-01-01 02:00:00,0.0,1068.08,10010.68,20.91,81.6,6.47,2,0,0
2024-01-01 03:00:00,0.0,392.57,9745.17,21.18,78.4,4.14,3,0,0
2024-01-01 04:00:00,0.0,375.33,9914.2,18.35,82.5,4.15,4,0,0
2024-01-01 05:00:00,0.0,459.13,9769.06,17.73,76.8,3.17,5,0,0
2024-01-01 06:00:00,0.0,711.25,10001.95,19.43,70.6,4.61,6,0,0
2024-01-01 07:00:00,0.0,389.5,9903.54,18.16,76.6,3.07,7,0,0
2024-01-01 08:00:00,0.0,356.55,10108.79,16.57,77.5,3.2,8,0,0
2024-01-01 09:00:00,0.0,395.21,9923.54,17.89,75.0,3.8,9,0,0
2024-01-01 10:00:00,1632.52,338.78,9701.89,16.98,70.1,2.74,10,0,0
2024-01-01 11:00:00,3601.9,451.65,9701.18,17.45,66.2,3.55,11,0,0
2024-01-01 12:00:00,4057.78,795.03,9753.97,18.92,70.2,4.98,12,0,0
2024-01-01 13:00:00,2893.23,533.98,9643.41,17.06,74.8,4.4,13,0,0
2024-01-01 14:00:00,1988.98,748.38,9777.39,18.06,75.5,4.41,14,0,0
2024-01-01 15:00:00,0.0,482.75,9841.26,20.23,74.7,4.73,15,0,0
2024-01-01 16:00:00,0.0,453.15,9602.17,20.42,66.5,4.51,16,0,0
2024-01-01 17:00:00,0.0,1354.66,9709.81,22.63,65.3,6.66,17,0,0
2024-01-01 18:00:00,0.0,678.91,10594.92,21.64,72.4,4.62,18,0,0
2024-01-01 19:00:00,0.0,755.81,10329.51,21.34,73.8,5.6,19,0,0
2024-01-01 20:00:00,0.0,976.87,10071.87,24.89,73.9,5.62,20,0,0
2024-01-01 21:00:00,0.0,992.87,10121.94,22.76,65.4,6.37,21,0,0
2024-01-01 22:00:00,0.0,740.22,10317.11,22.81,71.3,6.41,22,0,0
2024-01-01 23:00:00,0.0,866.53,9798.08,20.54,76.0,5.4,23,0,0
2024-01-02 00:00:00,0.0,689.16,9715.51,21.0,79.2,5.47,0,1,0
2024-01-02 01:00:00,0.0,596.36,10049.2,21.06,81.3,5.29,1,1,0
2024-01-02 02:00:00,0.0,282.52,10100.25,18.77,79.6,2.97,2,1,0
2024-01-02 03:00:00,0.0,373.59,9754.27,19.83,80.9,3.26,3,1,0
2024-01-02 04:00:00,0.0,340.78,9890.75,17.93,80.1,3.78,4,1,0
2024-01-02 05:00:00,0.0,526.35,9896.78,17.68,82.3,3.58,5,1,0
2024-01-02 06:00:00,0.0,333.4,9912.7,16.84,80.3,2.86,6,1,0
2024-01-02 07:00:00,0.0,484.89,10024.19,19.48,78.5,4.26,7,1,0
2024-01-02 08:00:00,0.0,473.13,10333.73,17.14,76.2,3.56,8,1,0
2024-01-02 09:00:00,0.0,464.78,10092.77,15.99,76.4,3.36,9,1,0
2024-01-02 10:00:00,1477.58,303.03,9836.64,18.54,76.7,2.56,10,1,0
2024-01-02 11:00:00,3468.05,361.24,9786.25,16.57,74.5,3.63,11,1,0
2024-01-02 12:00:00,3399.22,151.73,9769.24,18.91,73.8,1.72,12,1,0
2024-01-02 13:00:00,2892.08,587.38,9819.41,17.03,76.6,3.9,13,1,0
2024-01-02 14:00:00,1680.74,475.87,9643.69,18.56,71.5,4.32,14,1,0
2024-01-02 15:00:00,0.0,463.35,9549.46,21.17,67.3,4.72,15,1,0
2024-01-02 16:00:00,0.0,456.74,9760.39,22.54,73.3,3.53,16,1,0
2024-01-02 17:00:00,0.0,599.01,9680.35,22.48,64.4,5.21,17,1,0
2024-01-02 18:00:00,0.0,747.18,10355.7,22.61,66.1,4.4,18,1,0
2024-01-02 19:00:00,0.0,791.18,10342.05,22.69,72.5,4.74,19,1,0
2024-01-02 20:00:00,0.0,1012.05,10291.62,21.38,74.3,6.07,20,1,0
2024-01-02 21:00:00,0.0,1429.07,10467.79,22.19,68.5,7.14,21,1,0
2024-01-02 22:00:00,0.0,811.33,10289.25,22.2,73.2,5.53,22,1,0
2024-01-02 23:00:00,0.0,760.12,9611.02,23.55,73.6,4.74,23,1,0
2024-01-03 00:00:00,0.0,852.0,9759.16,22.09,75.3,5.35,0,2,0
2024-01-03 01:00:00,0.0,633.57,9926.52,18.84,82.0,5.75,1,2,0
